order_id,store_id,channel_id,payment_order_id,delivery_order_id,order_status,order_amount,order_delivery_fee,order_delivery_cost,order_created_hour,order_created_minute,order_created_day,order_created_month,order_created_year,order_moment_created,order_moment_accepted,order_moment_ready,order_moment_collected,order_moment_in_expedition,order_moment_delivering,order_moment_delivered,order_moment_finished,order_metric_collected_time,order_metric_paused_time,order_metric_production_time,order_metric_walking_time,order_metric_expediton_speed_time,order_metric_transit_time,order_metric_cycle_time
68414512,631,5,68414512,68414512,FINISHED,45.9,11.9,11.63,14,24,1,1,2021,1/1/2021 14:24:01,1/1/2021 14:24:18,1/1/2021 14:46:07,1/1/2021 14:46:13,1/1/2021 14:46:14,1/1/2021 15:25:58,,1/1/2021 15:49:47,0.08,39.75,22.1,0.1,39.85,23.82,85.77
68414563,955,5,68414563,68414563,FINISHED,26.9,0.0,6.0,14,24,1,1,2021,1/1/2021 14:24:26,1/1/2021 14:24:45,1/1/2021 15:03:28,1/1/2021 15:04:42,,1/1/2021 15:09:23,,1/1/2021 15:30:56,1.23,,39.03,,5.92,21.55,66.5
68414907,294,5,68414907,68414907,CANCELED,32.4,9.9,,14,27,1,1,2021,1/1/2021 14:27:31,,,,,,,,,,,,,,
68415103,631,5,68415103,68415103,FINISHED,103.6,11.9,6.33,14,31,1,1,2021,1/1/2021 14:31:33,1/1/2021 14:32:20,1/1/2021 14:56:22,1/1/2021 14:56:47,1/1/2021 14:56:49,1/1/2021 15:00:44,,1/1/2021 15:38:55,0.42,3.93,24.82,0.45,4.38,38.17,67.37
68415140,631,5,68415140,68415140,FINISHED,187.4,11.9,3.72,14,31,1,1,2021,1/1/2021 14:31:52,1/1/2021 14:32:24,1/1/2021 15:02:48,1/1/2021 15:04:22,1/1/2021 15:05:19,1/1/2021 15:09:30,,1/1/2021 16:06:40,1.57,4.18,30.93,2.52,6.7,57.17,94.82
68415344,631,5,68415344,68415344,FINISHED,83.4,11.9,11.32,14,33,1,1,2021,1/1/2021 14:33:32,1/1/2021 14:34:23,1/1/2021 14:56:25,1/1/2021 14:56:56,1/1/2021 14:56:57,1/1/2021 15:25:47,,1/1/2021 16:18:52,0.52,28.83,22.88,0.53,29.38,53.08,105.35
68415457,631,5,68415457,68415457,FINISHED,136.8,11.9,3.72,14,34,1,1,2021,1/1/2021 14:34:13,1/1/2021 14:34:20,1/1/2021 14:58:39,1/1/2021 15:04:19,1/1/2021 15:05:15,1/1/2021 15:09:21,,1/1/2021 15:23:34,5.67,04.08,24.43,6.62,10.7,14.22,49.35
68415474,631,5,68415474,68415474,FINISHED,158.3,11.9,10.35,14,34,1,1,2021,1/1/2021 14:34:53,1/1/2021 14:35:23,1/1/2021 15:02:54,1/1/2021 15:04:26,1/1/2021 15:05:22,1/1/2021 15:25:53,,1/1/2021 15:59:50,1.53,20.52,28.02,2.47,22.98,33.95,84.97
68415543,3528,5,68415543,68415543,FINISHED,21.9,3.0,9.99,14,35,1,1,2021,1/1/2021 14:35:52,1/1/2021 14:37:01,1/1/2021 16:02:05,1/1/2021 16:02:39,,1/1/2021 16:10:08,,1/1/2021 16:27:37,0.55,,86.22,,08.03,17.5,111.75
68415947,3265,5,68415947,68415947,FINISHED,25.9,0.0,12.08,14,37,1,1,2021,1/1/2021 14:37:42,1/1/2021 14:38:07,1/1/2021 15:10:26,1/1/2021 15:11:59,1/1/2021 15:12:01,1/1/2021 15:15:55,,1/1/2021 15:36:01,1.55,3.9,32.73,1.58,5.48,20.12,58.33
68416059,631,5,68416059,68416059,FINISHED,163.3,11.9,3.72,14,38,1,1,2021,1/1/2021 14:38:11,1/1/2021 14:38:22,1/1/2021 15:06:57,1/1/2021 15:12:43,1/1/2021 15:12:44,1/1/2021 15:13:46,,1/1/2021 15:32:28,5.75,01.02,28.77,5.78,6.8,18.72,54.28
68416226,3265,5,68416226,68416226,FINISHED,31.4,0.0,8.61,14,40,1,1,2021,1/1/2021 14:40:01,1/1/2021 14:41:07,1/1/2021 15:13:11,1/1/2021 15:15:38,1/1/2021 15:15:40,1/1/2021 15:16:04,,1/1/2021 15:31:49,2.43,0.4,33.17,2.47,2.87,15.77,51.8
68416227,3265,5,68416227,68416227,FINISHED,25.9,0.0,11.8,14,40,1,1,2021,1/1/2021 14:40:11,1/1/2021 14:41:13,1/1/2021 15:15:28,1/1/2021 15:18:34,1/1/2021 15:18:36,1/1/2021 15:20:45,,1/1/2021 15:31:49,3.12,2.15,35.27,3.13,5.28,11.07,51.63
68416230,1016,5,68416230,68416230,FINISHED,39.8,6.99,9.75,14,40,1,1,2021,1/1/2021 14:40:41,1/1/2021 14:41:28,1/1/2021 14:44:54,1/1/2021 14:46:28,1/1/2021 14:47:10,1/1/2021 14:48:05,,1/1/2021 14:57:36,1.57,0.93,4.2,2.27,3.2,9.52,16.92
68416339,1530,5,68416339,68416339,CANCELED,34.2,9.9,,14,43,1,1,2021,1/1/2021 14:43:41,,,,,,,,,,,,,,
68416397,3265,5,68416397,68416397,FINISHED,29.0,0.0,10.51,14,44,1,1,2021,1/1/2021 14:44:12,1/1/2021 14:44:54,1/1/2021 15:15:30,1/1/2021 15:18:39,1/1/2021 15:18:41,1/1/2021 15:21:53,,1/1/2021 15:43:13,3.15,3.2,31.3,3.18,6.38,21.33,59.03
68416643,955,5,68416643,68416643,FINISHED,46.8,0.0,8.54,14,46,1,1,2021,1/1/2021 14:46:38,1/1/2021 14:47:07,1/1/2021 15:03:39,1/1/2021 15:04:45,,1/1/2021 15:08:02,,1/1/2021 15:23:35,1.1,,17.02,,4.38,15.55,36.95
68417189,406,5,68417189,68417189,CANCELED,25.9,9.99,,14,52,1,1,2021,1/1/2021 14:52:50,,,,,,,,,,,,,,
68417307,955,5,68417307,68417307,FINISHED,41.9,0.0,8.0,14,54,1,1,2021,1/1/2021 14:54:09,1/1/2021 14:54:59,1/1/2021 15:13:12,1/1/2021 15:13:21,1/1/2021 15:14:30,1/1/2021 15:15:12,,1/1/2021 15:39:49,0.15,0.7,19.05,1.3,1.98,24.63,45.67
68417497,3265,5,68417497,68417497,FINISHED,28.0,0.0,10.75,14,55,1,1,2021,1/1/2021 14:55:41,1/1/2021 14:56:46,1/1/2021 15:43:29,1/1/2021 15:46:47,1/1/2021 15:46:49,1/1/2021 15:48:51,,1/1/2021 16:00:48,3.3,02.05,47.8,3.32,5.37,11.95,65.12
68417544,399,5,68417544,68417544,FINISHED,99.4,9.9,08.03,14,56,1,1,2021,1/1/2021 14:56:32,1/1/2021 14:57:28,1/1/2021 15:30:19,1/1/2021 15:31:07,1/1/2021 15:36:52,1/1/2021 15:37:00,1/1/2021 16:22:19,1/1/2021 19:19:21,0.8,0.13,33.78,6.55,6.7,45.32,85.8
68417646,955,5,68417646,68417646,FINISHED,54.9,0.0,8.0,14,58,1,1,2021,1/1/2021 14:58:04,1/1/2021 14:59:02,1/1/2021 15:13:14,1/1/2021 15:13:25,1/1/2021 15:14:34,1/1/2021 15:16:23,,1/1/2021 15:30:26,0.18,1.83,15.17,1.33,3.17,14.05,32.37
68417778,3265,5,68417778,68417778,FINISHED,32.4,0.0,8.94,14,59,1,1,2021,1/1/2021 14:59:12,1/1/2021 14:59:41,1/1/2021 15:37:27,1/1/2021 15:40:45,1/1/2021 15:40:47,1/1/2021 15:45:25,,1/1/2021 15:55:56,3.3,4.63,38.25,3.32,7.97,10.52,56.73
68417783,659,5,68417783,68417783,CANCELED,121.1,11.9,0.0,15,0,1,1,2021,1/1/2021 15:00:31,1/1/2021 15:08:30,,,,,,,,,,,,,
68417787,3528,5,68417787,68417787,FINISHED,74.9,3.0,8.0,15,1,1,1,2021,1/1/2021 15:01:54,1/1/2021 15:02:27,1/1/2021 16:59:59,1/1/2021 17:01:36,1/1/2021 17:03:21,1/1/2021 17:11:37,,1/1/2021 17:27:26,1.62,8.27,118.08,3.37,11.63,15.82,145.52
68417799,3265,5,68417799,68417799,FINISHED,31.0,0.0,10.01,15,2,1,1,2021,1/1/2021 15:02:02,1/1/2021 15:02:34,1/1/2021 15:37:45,1/1/2021 15:40:51,1/1/2021 15:40:53,1/1/2021 15:46:07,,1/1/2021 16:05:18,03.08,5.23,35.73,3.12,8.35,19.18,63.27
68418089,274,5,68418089,68418089,FINISHED,64.0,11.9,8.0,15,4,1,1,2021,1/1/2021 15:04:21,1/1/2021 15:04:36,1/1/2021 15:20:58,,,1/1/2021 15:24:01,,1/1/2021 15:50:07,,,16.6,,03.05,26.1,45.77
68418092,3265,5,68418092,68418092,FINISHED,47.8,0.0,10.41,15,4,1,1,2021,1/1/2021 15:04:33,1/1/2021 15:05:44,1/1/2021 15:47:54,1/1/2021 15:52:03,1/1/2021 15:54:16,1/1/2021 15:54:20,,1/1/2021 16:05:47,4.15,0.07,43.35,6.37,6.43,11.45,61.23
68418430,707,5,68418430,68418430,FINISHED,205.5,11.9,10.06,15,5,1,1,2021,1/1/2021 15:05:32,1/1/2021 15:06:32,1/1/2021 15:21:38,1/1/2021 15:24:59,1/1/2021 15:25:02,1/1/2021 15:27:53,,1/1/2021 15:41:35,3.35,2.87,16.1,3.4,6.27,13.68,36.05
68418711,998,5,68418711,68418711,FINISHED,69.0,9.9,9.0,15,6,1,1,2021,1/1/2021 15:06:31,1/1/2021 15:07:20,1/1/2021 15:28:24,1/1/2021 15:29:27,1/1/2021 15:30:41,1/1/2021 15:31:09,,1/1/2021 15:46:21,01.05,0.47,21.88,2.28,2.75,15.2,39.82
68419091,236,5,68419091,68419091,FINISHED,87.35,11.9,6.0,15,8,1,1,2021,1/1/2021 15:08:32,1/1/2021 15:08:35,1/1/2021 15:21:52,1/1/2021 15:22:34,1/1/2021 15:26:20,1/1/2021 15:30:05,,1/1/2021 15:49:30,0.7,3.75,13.35,4.47,8.22,19.4,40.97
68419094,2948,5,68419094,68419094,FINISHED,85.6,0.0,7.6,15,8,1,1,2021,1/1/2021 15:08:32,1/1/2021 15:08:39,1/1/2021 15:26:22,1/1/2021 15:28:47,1/1/2021 15:31:28,1/1/2021 15:32:04,,1/1/2021 15:42:09,2.42,0.6,17.83,5.1,5.7,10.08,33.6
68419140,274,5,68419140,68419140,FINISHED,100.3,11.9,8.74,15,9,1,1,2021,1/1/2021 15:09:01,1/1/2021 15:09:07,1/1/2021 15:30:27,,,1/1/2021 15:35:14,,1/1/2021 15:48:33,,,21.42,,4.8,13.3,39.52
68419146,3105,5,68419146,68419146,FINISHED,43.7,0.0,6.0,15,9,1,1,2021,1/1/2021 15:09:04,1/1/2021 15:10:18,1/1/2021 15:29:48,1/1/2021 15:30:35,1/1/2021 15:30:36,1/1/2021 15:32:56,,1/1/2021 16:31:10,0.78,2.33,20.73,0.8,3.13,58.25,82.1
68419302,1016,5,68419302,68419302,FINISHED,38.4,6.99,8.89,15,9,1,1,2021,1/1/2021 15:09:52,1/1/2021 15:10:15,1/1/2021 15:23:41,1/1/2021 15:27:16,1/1/2021 15:27:17,1/1/2021 15:28:03,,1/1/2021 15:37:53,3.58,0.77,13.83,3.6,4.37,9.82,28.02
68419305,415,5,68419305,68419305,FINISHED,190.5,11.9,6.0,15,9,1,1,2021,1/1/2021 15:09:53,1/1/2021 15:10:06,1/1/2021 15:47:43,1/1/2021 15:48:58,1/1/2021 15:49:00,1/1/2021 15:51:50,,1/1/2021 16:08:56,1.25,2.83,37.85,1.27,4.1,17.1,59.05
68419373,631,5,68419373,68419373,FINISHED,155.3,11.9,3.75,15,10,1,1,2021,1/1/2021 15:10:11,1/1/2021 15:10:56,1/1/2021 15:25:06,1/1/2021 15:25:14,1/1/2021 15:25:15,1/1/2021 15:51:51,,1/1/2021 16:05:00,0.13,26.6,14.9,0.17,26.75,13.13,54.8
68419684,3105,5,68419684,68419684,FINISHED,34.9,0.0,6.0,15,11,1,1,2021,1/1/2021 15:11:17,1/1/2021 15:12:04,1/1/2021 15:29:53,1/1/2021 15:30:31,1/1/2021 15:30:32,1/1/2021 15:33:25,,1/1/2021 15:55:52,0.63,2.87,18.6,0.65,3.53,22.47,44.58
68419797,415,5,68419797,68419797,FINISHED,117.0,11.9,6.0,15,11,1,1,2021,1/1/2021 15:11:32,1/1/2021 15:12:05,1/1/2021 15:45:46,1/1/2021 15:48:52,1/1/2021 15:48:53,1/1/2021 15:53:13,,1/1/2021 16:06:00,3.1,4.33,34.23,3.13,7.47,12.78,54.47
68419848,274,5,68419848,68419848,FINISHED,156.8,11.9,8.82,15,11,1,1,2021,1/1/2021 15:11:43,1/1/2021 15:12:09,1/1/2021 15:41:58,,,1/1/2021 15:45:06,,1/1/2021 15:57:19,,,30.25,,3.13,12.23,45.6
68420053,707,5,68420053,68420053,FINISHED,135.15,11.9,10.69,15,12,1,1,2021,1/1/2021 15:12:12,1/1/2021 15:12:34,1/1/2021 15:27:25,1/1/2021 15:30:18,1/1/2021 15:33:30,1/1/2021 15:33:32,,1/1/2021 15:49:33,2.88,0.03,15.23,06.08,6.1,16.02,37.35
68420308,631,5,68420308,68420308,FINISHED,69.9,11.9,6.0,15,12,1,1,2021,1/1/2021 15:12:42,1/1/2021 15:12:56,1/1/2021 15:22:35,1/1/2021 15:25:10,1/1/2021 15:25:11,1/1/2021 15:38:33,,1/1/2021 15:49:25,2.58,13.37,9.9,2.6,15.97,10.87,36.72
68420589,3071,5,68420589,68420589,FINISHED,59.8,0.0,08.09,15,14,1,1,2021,1/1/2021 15:14:03,1/1/2021 15:15:04,1/1/2021 15:33:57,1/1/2021 15:34:52,1/1/2021 15:34:54,1/1/2021 15:36:29,,1/1/2021 15:47:20,0.92,1.58,19.9,0.95,2.53,10.85,33.28
68420592,3060,5,68420592,68420592,FINISHED,62.7,0.0,6.0,15,14,1,1,2021,1/1/2021 15:14:03,1/1/2021 15:14:28,1/1/2021 15:23:49,1/1/2021 15:26:13,1/1/2021 15:29:01,1/1/2021 15:36:03,,1/1/2021 16:19:02,2.4,07.03,9.75,5.2,12.23,42.98,64.97
68420776,3528,5,68420776,68420776,FINISHED,25.4,0.0,8.0,15,14,1,1,2021,1/1/2021 15:14:30,1/1/2021 15:15:10,1/1/2021 16:01:26,1/1/2021 16:02:30,,1/1/2021 16:08:10,,1/1/2021 16:14:51,01.08,,46.93,,6.73,6.7,60.37
68420869,707,5,68420869,68420869,FINISHED,234.6,11.9,10.88,15,14,1,1,2021,1/1/2021 15:14:52,1/1/2021 15:15:33,1/1/2021 15:28:34,1/1/2021 15:30:25,1/1/2021 15:33:27,1/1/2021 15:33:38,,1/1/2021 15:57:33,1.85,0.18,13.7,4.9,05.08,23.92,42.68
68421071,3265,5,68421071,68421071,FINISHED,61.8,0.0,10.43,15,15,1,1,2021,1/1/2021 15:15:32,1/1/2021 15:17:54,1/1/2021 16:05:32,1/1/2021 16:07:51,1/1/2021 16:07:52,1/1/2021 16:10:35,,1/1/2021 16:20:11,2.32,2.72,50.0,2.33,05.05,9.6,64.65
68421547,3091,5,68421547,68421547,FINISHED,25.9,0.0,8.0,15,17,1,1,2021,1/1/2021 15:17:23,1/1/2021 15:19:10,1/1/2021 15:27:58,1/1/2021 15:28:38,1/1/2021 15:28:39,1/1/2021 15:32:20,,1/1/2021 15:40:33,0.67,3.68,10.58,0.68,4.37,8.22,23.18
68421551,3105,5,68421551,68421551,FINISHED,35.8,0.0,8.0,15,17,1,1,2021,1/1/2021 15:17:25,1/1/2021 15:18:06,1/1/2021 15:29:58,1/1/2021 15:30:27,1/1/2021 15:30:28,1/1/2021 15:33:46,,1/1/2021 15:45:30,0.48,3.3,12.55,0.5,3.8,11.73,28.08
68421917,3265,5,68421917,68421917,FINISHED,20.9,0.0,10.33,15,19,1,1,2021,1/1/2021 15:19:11,1/1/2021 15:20:20,1/1/2021 16:29:12,1/1/2021 16:29:17,1/1/2021 16:32:33,1/1/2021 16:35:53,,1/1/2021 16:49:35,0.08,3.33,70.02,3.33,6.67,13.72,90.4
68421987,149,5,68421987,68421987,FINISHED,92.35,11.9,8.0,15,19,1,1,2021,1/1/2021 15:19:32,1/1/2021 15:20:08,1/1/2021 15:37:21,1/1/2021 15:38:39,1/1/2021 15:38:45,1/1/2021 15:45:13,,1/1/2021 16:05:35,1.3,6.48,17.83,1.38,7.87,20.37,46.05
68422045,2948,5,68422045,68422045,FINISHED,51.7,0.0,7.6,15,20,1,1,2021,1/1/2021 15:20:02,1/1/2021 15:20:43,1/1/2021 15:31:38,1/1/2021 15:33:20,1/1/2021 15:34:15,1/1/2021 15:34:53,,1/1/2021 15:45:49,1.7,0.63,11.6,2.62,3.25,10.93,25.78
68422076,3071,5,68422076,68422076,FINISHED,36.8,0.0,8.0,15,20,1,1,2021,1/1/2021 15:20:17,1/1/2021 15:21:09,1/1/2021 15:39:55,1/1/2021 15:41:17,,1/1/2021 15:42:30,,1/1/2021 15:56:07,1.35,,19.63,,2.58,13.62,35.83
68422092,149,5,68422092,68422092,FINISHED,143.4,11.9,8.84,15,20,1,1,2021,1/1/2021 15:20:23,1/1/2021 15:21:11,1/1/2021 15:41:28,1/1/2021 15:43:20,1/1/2021 15:43:22,1/1/2021 15:46:30,,1/1/2021 16:06:06,1.87,3.15,21.08,1.9,05.03,19.58,45.7
68422281,632,5,68422281,68422281,FINISHED,129.7,11.9,6.0,15,21,1,1,2021,1/1/2021 15:21:32,1/1/2021 15:22:02,1/1/2021 15:42:09,1/1/2021 15:43:30,1/1/2021 15:43:31,1/1/2021 16:28:45,,1/1/2021 17:20:43,1.37,45.23,20.62,1.37,46.62,51.97,119.2
68422614,1037,5,68422614,68422614,FINISHED,168.9,11.9,8.2,15,22,1,1,2021,1/1/2021 15:22:43,1/1/2021 15:22:51,1/1/2021 15:39:11,1/1/2021 15:40:34,1/1/2021 15:40:44,1/1/2021 15:44:49,,1/1/2021 16:08:31,1.38,04.08,16.48,1.55,5.63,23.7,45.8
68422671,998,5,68422671,68422671,FINISHED,150.0,9.9,6.0,15,22,1,1,2021,1/1/2021 15:22:52,1/1/2021 15:23:39,1/1/2021 15:43:37,1/1/2021 15:44:06,1/1/2021 15:45:14,1/1/2021 15:45:58,1/1/2021 15:56:45,1/1/2021 16:51:21,0.5,0.73,20.75,1.62,2.35,10.78,33.88
68422740,3512,5,68422740,68422740,CANCELED,77.6,0.0,,15,23,1,1,2021,1/1/2021 15:23:02,,,,,,,,,,,,,,
68423110,3528,5,68423110,68423110,FINISHED,24.9,3.0,8.16,15,23,1,1,2021,1/1/2021 15:23:55,1/1/2021 15:24:35,1/1/2021 16:27:39,1/1/2021 16:27:57,1/1/2021 16:29:09,1/1/2021 16:34:47,,1/1/2021 16:42:40,0.3,5.62,63.72,1.52,7.13,7.9,78.75
68423162,495,5,68423162,68423162,FINISHED,107.35,11.9,8.42,15,24,1,1,2021,1/1/2021 15:24:12,1/1/2021 15:24:47,1/1/2021 15:33:46,1/1/2021 15:36:46,1/1/2021 15:36:52,1/1/2021 15:48:08,,1/1/2021 16:08:13,3.0,11.27,9.57,3.1,14.37,20.08,44.02
68423436,631,5,68423436,68423436,FINISHED,46.9,11.9,11.16,15,25,1,1,2021,1/1/2021 15:25:11,1/1/2021 15:25:56,1/1/2021 15:46:50,1/1/2021 15:49:30,1/1/2021 15:49:31,1/1/2021 17:08:34,,1/1/2021 18:03:42,2.67,79.05,21.65,2.68,81.73,55.13,158.52
68423588,495,5,68423588,68423588,FINISHED,81.8,11.9,6.0,15,25,1,1,2021,1/1/2021 15:25:42,1/1/2021 15:25:47,1/1/2021 15:35:40,1/1/2021 15:36:56,1/1/2021 15:37:01,1/1/2021 15:56:50,,1/1/2021 16:34:33,1.27,19.82,9.97,1.35,21.18,37.72,68.85
68423643,399,5,68423643,68423643,FINISHED,78.9,9.9,6.0,15,25,1,1,2021,1/1/2021 15:25:51,1/1/2021 15:26:51,1/1/2021 15:43:10,1/1/2021 15:43:17,1/1/2021 15:53:02,1/1/2021 15:54:03,,1/1/2021 16:11:11,0.12,01.02,17.3,9.87,10.88,17.13,45.33
68423762,3728,5,68423762,68423762,FINISHED,85.0,0.0,09.04,15,26,1,1,2021,1/1/2021 15:26:16,1/1/2021 15:43:54,1/1/2021 15:44:05,1/1/2021 15:47:03,1/1/2021 15:53:08,1/1/2021 15:54:00,,1/1/2021 16:08:24,2.97,0.87,17.82,09.05,9.92,14.4,42.13
68423847,149,5,68423847,68423847,FINISHED,65.4,11.9,6.0,15,26,1,1,2021,1/1/2021 15:26:31,1/1/2021 15:27:29,1/1/2021 15:40:56,1/1/2021 15:42:50,1/1/2021 15:42:52,1/1/2021 15:45:35,,1/1/2021 15:58:24,1.9,2.72,14.42,1.93,4.65,12.82,31.88
68424216,3091,5,68424216,68424216,FINISHED,45.7,0.0,3.49,15,27,1,1,2021,1/1/2021 15:27:37,1/1/2021 15:28:09,1/1/2021 16:04:37,1/1/2021 16:05:14,1/1/2021 16:05:15,1/1/2021 16:45:16,,1/1/2021 17:29:52,0.62,40.02,37.0,0.65,40.65,44.6,122.25
68424238,632,5,68424238,68424238,FINISHED,38.0,11.9,6.87,15,27,1,1,2021,1/1/2021 15:27:42,1/1/2021 15:28:05,1/1/2021 15:43:42,1/1/2021 15:44:01,1/1/2021 15:44:02,1/1/2021 16:24:53,,1/1/2021 16:54:53,0.33,40.87,16.0,0.33,41.2,30.0,87.18
68424433,632,5,68424433,68424433,FINISHED,125.9,11.9,3.75,15,28,1,1,2021,1/1/2021 15:28:22,1/1/2021 15:29:05,1/1/2021 15:43:42,1/1/2021 15:43:52,1/1/2021 15:43:54,1/1/2021 15:52:36,,1/1/2021 16:19:27,0.17,8.72,15.35,0.18,8.9,26.85,51.08
68424547,495,5,68424547,68424547,FINISHED,184.6,11.9,3.84,15,29,1,1,2021,1/1/2021 15:29:03,1/1/2021 15:29:50,1/1/2021 15:48:02,1/1/2021 15:50:29,1/1/2021 15:50:34,1/1/2021 16:13:52,,1/1/2021 16:30:25,2.43,23.3,18.98,2.53,25.83,16.55,61.37
68424656,659,5,68424656,68424656,FINISHED,74.4,11.9,6.0,15,29,1,1,2021,1/1/2021 15:29:42,1/1/2021 15:30:42,1/1/2021 15:37:22,1/1/2021 15:37:35,1/1/2021 15:41:52,1/1/2021 15:42:29,,1/1/2021 16:03:59,0.22,0.62,7.67,4.5,5.12,21.52,34.3
68424659,707,5,68424659,68424659,FINISHED,270.0,11.9,10.28,15,29,1,1,2021,1/1/2021 15:29:42,1/1/2021 15:30:13,1/1/2021 15:46:43,1/1/2021 15:48:55,1/1/2021 15:50:27,1/1/2021 15:52:27,,1/1/2021 16:14:53,2.2,2.0,17.0,3.73,5.73,22.43,45.18
68424660,3265,5,68424660,68424660,FINISHED,57.0,0.0,8.56,15,29,1,1,2021,1/1/2021 15:29:43,1/1/2021 15:30:19,1/1/2021 16:00:20,1/1/2021 16:02:24,,1/1/2021 16:05:03,,1/1/2021 16:13:19,02.08,,30.62,,4.72,8.28,43.62
68424858,631,5,68424858,68424858,FINISHED,160.7,11.9,6.12,15,31,1,1,2021,1/1/2021 15:31:12,1/1/2021 15:32:20,1/1/2021 16:07:50,1/1/2021 16:10:32,1/1/2021 16:10:33,1/1/2021 16:19:39,,1/1/2021 16:36:48,2.7,9.1,36.63,2.72,11.82,17.15,65.6
